time,f_b_est_x,f_b_est_y,f_b_est_z,dot_omega_b_est_x,dot_omega_b_est_y,dot_omega_b_est_z,r_rel_est_x,r_rel_est_y,r_rel_est_z,euler_est_x,euler_est_y,euler_est_z
0.0028,-8.413001882112788,-0.00017529064959911277,9.75942585808371,-0.02815530315131004,-0.9321810061588348,0.02244578179663183,8.744251494214226e-08,1.8219247134268473e-12,-1.0143688932438362e-07,2.5304819872898727e-10,8.378057803071215e-09,-2.0173337500753094e-10
0.0029,-8.72376034261482,-0.00016805199463188077,9.755869370478239,-0.02699202388809848,-0.9667824937978725,0.038355866639379954,9.06724561286404e-08,1.7466872504359106e-12,-1.0139992414363032e-07,2.4259303843014994e-10,8.689041708365153e-09,-3.4472659153435026e-10
0.003,-9.034656980590999,-0.00017035688627294043,9.752312885865239,-0.027362419734534654,-1.001384165717577,0.03207205022815612,9.390383349418865e-08,1.770643728098736e-12,-1.0136295899363345e-07,2.4592200811124006e-10,9.00002739001593e-09,-2.8825027085179376e-10
0.0031,-9.345277121297835,-8.74543877251518e-05,9.747956475877084,-0.014046702060228107,-1.035987506382485,0.01774462312680024,9.713233701972988e-08,9.089784375678828e-13,-1.0131767963134937e-07,1.2624593769417504e-10,9.311027948655237e-09,-1.5948128804542193e-10
0.0032,-9.655693383002713,-0.00011597990010572525,9.743281965146116,-0.01862867594008605,-1.0705915926775205,0.015302601886888938,1.0035872147930041e-07,1.2054641094543314e-12,-1.0126909401498047e-07,1.6742678778249218e-10,9.622035168632692e-09,-1.3753355042048246e-10
0.0033,-9.966114383396148,-0.00014085116136618934,9.738607455054426,-0.02262372859972594,-1.1051962720967439,0.012101046635790967,1.0358515519097765e-07,1.4639698445733759e-12,-1.0122050840620618e-07,2.0333273406768971e-10,9.933047717680665e-09,-1.0875931688648979e-10
0.0034,-10.276474554502856,-0.00018036726410494843,9.733932941942687,-0.02897070210985655,-1.1398013519824106,0.018669801091762563,1.0681095665905138e-07,1.8746890829045285e-12,-1.0117192276432731e-07,2.6037664580240483e-10,1.0244063819442317e-08,-1.6779651321389627e-10
0.0035,-10.586775559836283,-6.842984036660599e-05,9.729258430432129,-0.01099009709840921,-1.1744060833597896,0.03474094197036723,1.1003614317253178e-07,7.112425332113686e-13,-1.0112333714071982e-07,9.877437896544167e-11,1.05550768125795e-08,-3.1223714365452885e-10
0.0036,-10.897219786712089,-0.0002512415594628943,9.72458392174766,-0.04035443569847032,-1.2090110292621477,0.02780801488870167,1.1326281829281422e-07,2.6113379341753592e-12,-1.0107475154812831e-07,3.6268896363633626e-10,1.0866091582073523e-08,-2.4992692885070177e-10
0.0037,-11.207671218266151,-0.00014516152840000627,9.719909413858916,-0.023315680120817226,-1.2436150083571171,0.01971788968860471,1.1648956829517014e-07,1.508771018023504e-12,-1.010261659622643e-07,2.0955170946151181e-10,1.1177097913872558e-08,-1.7721623935542363e-10
0.0038,-11.518120696013408,-0.00018059492247723144,9.715234901446653,-0.029007481509803187,-1.2782188283288096,0.011942376024863179,1.1971629798898283e-07,1.877056241182394e-12,-1.0097758033066319e-07,2.6070733385670476e-10,1.1488102913403964e-08,-1.0733310240708854e-10
0.0039,-11.8285205465167,-8.546908196576381e-05,9.71056039082278,-0.01372788154105161,-1.3128238278391497,0.01213718429161263,1.2294251187051936e-07,8.883432926962028e-13,-1.0092899471745706e-07,1.2338056428030114e-10,1.17991183490318e-08,-1.0908391624942257e-10
0.004,-12.138866934249634,-0.00012569838166123703,9.705885882009172,-0.02018927095273075,-1.347428478893721,0.020919879682453714,1.2616817007294675e-07,1.3064765415148097e-12,-1.0088040912384948e-07,1.8145289304599477e-10,1.2110130676035169e-08,-1.8801918434821872e-10
