time,r_rel_x,r_rel_y,r_rel_z,v_rel_x,v_rel_y,v_rel_z,q_x,q_y,q_z,q_w,omega_rel_x,omega_rel_y,omega_rel_z,fiber_1_length,fiber_2_length,fiber_3_length,fiber_4_length,fiber_5_length,fiber_6_length,fiber_7_length,fiber_8_length,fiber_9_length,fiber_10_length,fiber_11_length,fiber_12_length
0.0,1.6113512562461227e-09,2.884840774555032e-25,-1.0196254853578708e-07,0.0,0.0,0.0,-3.918019082039284e-26,7.781971014187104e-11,1.1662855291351284e-26,1.0,0.0,0.0,0.0,0.0029999983903815164,0.0029999983903815164,0.003000001613083939,0.003000001613083939,0.0030000000017331614,0.00300000000173316,0.0030000000017331614,0.00300000000173316,0.003000101963669574,0.003000101961428367,0.002999898036331293,0.0029998980385725
0.0001,1.862642459591058e-09,2.884836070670197e-25,-1.0196240358966485e-07,4.593346133887755e-06,-8.351986380881733e-27,2.665736317678715e-09,-3.8869166379147975e-26,9.04859600616717e-11,1.1661751895916578e-26,1.0,9.748108634647898e-24,4.631048411878638e-07,-3.986130425745089e-26,0.002999998139090314,0.002999998139090314,0.0030000018643751318,0.0030000018643751318,0.003000000001733302,0.0030000000017333,0.003000000001733302,0.0030000000017333,0.0030001019637071673,0.003000101961101172,0.002999898036293991,0.002999898038899986
0.0002,3.025440295395293e-09,2.884803991308598e-25,-1.0196158807305627e-07,1.7007338388131587e-05,-4.9195461837783395e-26,1.2315360472330146e-08,-3.829751041665322e-26,1.4799757418925087e-10,1.1654758682436192e-26,1.0,1.3548131629985506e-23,1.6762532014343419e-06,-2.1405025522206965e-25,0.0029999969762924835,0.0029999969762924835,0.003000003027172907,0.003000003027172907,0.003000000001734223,0.0030000000017342187,0.003000000001734223,0.0030000000017342187,0.0030001019637207675,0.0030001019594584374,0.0029998980362822853,0.0029998980405446154
0.00030000000000000003,5.402147924812542e-09,2.884807041339276e-25,-1.0195954826910222e-07,3.0588951930555425e-05,3.9984963265836555e-26,2.806456288421622e-08,-3.760056100570082e-26,2.629413214417222e-10,1.1641993878035429e-26,1.0,1.444010217968406e-23,2.9334706840229757e-06,-3.0922404556849293e-25,0.0029999945995848503,0.0029999945995848503,0.0030000054038804014,0.0030000054038804014,0.0030000000017374965,0.003000000001737483,0.0030000000017374965,0.003000000001737483,0.003000101963339497,0.003000101955766787,0.002999898036670233,0.0029998980442429426
0.0004,8.727269736045873e-09,2.8849787953928813e-25,-1.019559436868864e-07,3.8987486200844455e-05,3.2806581277370324e-25,4.562518515260943e-08,-3.68670802871018e-26,4.203674873849934e-10,1.1637345656967283e-26,1.0,1.4279170469680852e-23,3.6506115544608838e-06,-3.4328957273914814e-26,0.0029999912744630057,0.0029999912744630057,0.003000008729002001,0.003000008729002001,0.0030000000017452147,0.00300000000174518,0.0030000000017452147,0.00300000000174518,0.003000101962009694,0.003000101949903111,0.002999898038015696,0.0029998980501222796
0.0005,1.2529917313539215e-08,2.885151341116864e-25,-1.019507542394184e-07,4.1026309199041076e-05,2.3968512394781106e-25,6.174952502973704e-08,-3.6136670533320346e-26,5.976799199182921e-10,1.1659644422379854e-26,1.0,1.3682122992207997e-23,3.7837322157574062e-06,7.27126404304107e-25,0.0029999874718153537,0.0029999874718153537,0.0030000125316493004,0.0030000125316493004,0.0030000000017585296,0.0030000000017584576,0.0030000000017585296,0.0030000000017584576,0.0030001019593870384,0.003000101942173856,0.0029998980406652966,0.0029998980578784785
0.0006000000000000001,1.6445264498316535e-08,2.885252034738549e-25,-1.0194403635688978e-07,3.750974463666112e-05,-2.0989991616260694e-26,7.530666362263351e-08,-3.5434974794387073e-26,7.78836638467592e-10,1.1709643096662855e-26,1.0,1.329369640105395e-23,3.4366450337650626e-06,1.5584925477820698e-24,0.002999983556468043,0.002999983556468043,0.0030000164469961544,0.0030000164469961544,0.0030000000017772342,0.0030000000017771115,0.0030000000017772342,0.0030000000017771115,0.003000101955296748,0.0030001019328662532,0.002999898044793403,0.002999898067223898
0.0007,2.000062997760323e-08,2.885097208425216e-25,-1.0193601159323233e-07,3.19138221117139e-05,-3.6503507415755045e-25,8.584299910434766e-08,-3.4762594939201216e-26,9.439195013390086e-10,1.1787203779699975e-26,1.0,1.3202733516863596e-23,2.9849303807928636e-06,1.8455631387470154e-24,0.0029999800011023866,0.0029999800011023866,0.0030000200023612656,0.0030000200023612656,0.0030000000017985874,0.003000000001798406,0.0030000000017985874,0.003000000001798406,0.003000101949670808,0.003000101922485925,0.002999898050462536,0.002999898077647419
0.0008,2.3268123458994306e-08,2.8848918289467934e-25,-1.0192677940913676e-07,2.7642227309567542e-05,-4.439889209519776e-25,9.65398657529194e-08,-3.409797506224023e-26,1.0984738348981783e-09,1.1848404180659974e-26,1.0,1.3256755427947074e-23,2.6780078120078507e-06,1.2971601977074149e-24,0.0029999767336086787,0.0029999767336086787,0.003000023269854346,0.003000023269854346,0.0030000000018218695,0.003000000001821624,0.0030000000018218695,0.003000000001821624,0.0030001019426878052,0.0030001019110517573,0.002999898057492666,0.0029998980891287135
0.0009000000000000001,2.612854092657515e-08,2.884680836363178e-25,-1.0191642039007152e-07,2.7085889015443546e-05,-1.3595009781540456e-25,1.0856932393098775e-07,-3.343546604716982e-26,1.2383226078496443e-09,1.1870801189556273e-26,1.0,1.3521441314412774e-23,2.719489201041684e-06,-2.8895963825332696e-25,0.0029999738731909392,0.0029999738731909392,0.003000026130271382,0.003000026130271382,0.0030000000018450992,0.0030000000018447883,0.0030000000018450992,0.0030000000018447883,0.0030001019343661927,0.003000101898702502,0.0029998980658613762,0.002999898101525067
0.001,2.90495625665369e-08,2.8846243487387326e-25,-1.019046711489038e-07,2.8756564390178463e-05,5.251935314591204e-26,1.233487128091031e-07,-3.275852936972383e-26,1.3827136442066648e-09,1.1829042315121182e-26,1.0,1.380687460913669e-23,2.8919455730045835e-06,-1.6574223406202476e-24,0.0029999709521689824,0.0029999709521689824,0.0030000290512925405,0.0030000290512925405,0.0030000000018716,0.0030000000018712146,0.0030000000018716,0.0030000000018712146,0.0030001019247230874,0.0030001018849009353,0.002999898075558207,0.0029998981153803593
0.0011,3.2001119627206845e-08,2.8846932609553683e-25,-1.0189149499100903e-07,3.166249000944125e-05,2.429525351879748e-25,1.3947732061195636e-07,-3.2071914184118765e-26,1.5291212849721005e-09,1.1737556062890118e-26,1.0,1.4096671472600887e-23,3.139319469305292e-06,-2.921753332261321e-24,0.0029999680006115564,0.0029999680006115564,0.0030000320028490714,0.0030000320028490714,0.003000000001901227,0.0030000000019007574,0.003000000001901227,0.0030000000019007574,0.0030001019136852787,0.0030001018696465863,0.0029998980866560803,0.0029998981306947727
0.0012000000000000001,3.520556773239375e-08,2.884931566798545e-25,-1.018766779139666e-07,3.323042230388915e-05,3.7227108203826237e-25,1.5534038993293087e-07,-3.137361964024081e-26,1.6844712687930473e-09,1.1607070253306962e-26,1.0,1.4233506307854177e-23,3.240441010961631e-06,-3.572941044083501e-24,0.002999964796163037,0.002999964796163037,0.0030000352072965843,0.0030000352072965843,0.003000000001936667,0.003000000001936098,0.003000000001936667,0.003000000001936098,0.00300010190114119,0.0030001018526284165,0.0029998980992719556,0.0029998981477847297
0.0013000000000000002,3.8539921625065195e-08,2.885314933234e-25,-1.018603382828633e-07,3.488362647528204e-05,4.753637406343504e-25,1.718310457188844e-07,-3.066475241154088e-26,1.8449329583639926e-09,1.1431651311443007e-26,1.0,1.430439615834881e-23,3.317639617614656e-06,-3.892520602498611e-24,0.00299996146180868,0.00299996146180868,0.0030000385416498318,0.0030000385416498318,0.0030000000019771516,0.0030000000019764685,0.0030000000019771516,0.0030000000019764685,0.003000101887153253,0.003000101834019183,0.002999898113341858,0.002999898166475928
0.0014,4.187882863180138e-08,2.885712243808008e-25,-1.018425490374464e-07,3.516512281432306e-05,5.166165573188091e-25,1.8660108176343725e-07,-2.995234997664434e-26,2.004250537256472e-09,1.129766546589342e-26,1.0,1.4381598852517543e-23,3.3144302267174773e-06,-3.503087290164524e-24,0.00299995812290116,0.00299995812290116,0.0030000418805561447,0.0030000418805561447,0.003000000002021361,0.0030000000020205552,0.003000000002021361,0.0030000000020205552,0.0030001018717030026,0.0030001018139805854,0.0029998981288816115,0.0029998981866040286
0.0015,4.5268901625131125e-08,2.886172254676918e-25,-1.0182328305479105e-07,3.461669481564171e-05,5.092727173926934e-25,2.005236875533648e-07,-2.9233795422124946e-26,2.1647502548099573e-09,1.1172997103209584e-26,1.0,1.443824503963927e-23,3.251817025484061e-06,-2.544980499144533e-24,0.0029999547328276033,0.0029999547328276033,0.0030000452706283923,0.0030000452706283923,0.003000000002070014,0.0030000000020690733,0.003000000002070014,0.0030000000020690733,0.003000101854797529,0.003000101792452723,0.002999898145885564,0.002999898208230371
0.0016,4.862147271598026e-08,2.88660421514432e-25,-1.0180191350351884e-07,3.365200162906808e-05,4.458954195974931e-25,2.1377488053097296e-07,-2.851075230911353e-26,2.3235730992807865e-09,1.1093022651157154e-26,1.0,1.4463974783894265e-23,3.1752572214786774e-06,-1.4820903997827348e-24,0.002999951380255878,0.002999951380255878,0.0030000486231986675,0.0030000486231986675,0.0030000000021218227,0.003000000002120738,0.0030000000021218227,0.003000000002120738,0.003000101835767569,0.0030001017688486647,0.0029998981650204495,0.002999898231939354
0.0017000000000000001,5.1910767373311e-08,2.8869737142407083e-25,-1.017796929460794e-07,3.282281607063339e-05,3.6492824675572166e-25,2.269499532540568e-07,-2.778778143315339e-26,2.480221723678948e-09,1.104548162664833e-26,1.0,1.4477413721125055e-23,3.122098379069614e-06,-6.690289682903124e-25,0.0029999480909605547,0.0029999480909605547,0.003000051912492483,0.003000051912492483,0.003000000002176258,0.003000000002175022,0.003000000002176258,0.003000000002175022,0.00300010181585795,0.003000101744427564,0.0029998981850402947,0.0029998982564706806
0.0018000000000000002,5.5191637061255036e-08,2.8873434092090147e-25,-1.0175665918398598e-07,3.209659128033719e-05,2.95577861699432e-25,2.397138071691401e-07,-2.706499502694706e-26,2.636674078249448e-09,1.1002244671162118e-26,1.0,1.4487880633045785e-23,3.075950006900896e-06,3.9467664664005026e-26,0.002999944810090175,0.002999944810090175,0.0030000551933613002,0.0030000551933613002,0.003000000002234122,0.003000000002232725,0.003000000002234122,0.003000000002232725,0.0030001017951357557,0.0030001017191995435,0.0029998982058796193,0.0029998982818158315
0.0019,5.8413170923403214e-08,2.8877144836745623e-25,-1.0172789814058502e-07,3.2095504104393235e-05,3.0804281207139027e-25,2.4958150723065856e-07,-2.634350781420658e-26,2.791744133161807e-09,1.098932064359489e-26,1.0,1.4477416005875482e-23,3.0791753501529287e-06,1.1529732025767296e-26,0.0029999415885554248,0.0029999415885554248,0.0030000584148940994,0.0030000584148940994,0.003000000002294228,0.003000000002292662,0.003000000002294228,0.003000000002292662,0.0030001017686688116,0.0030001016882665816,0.0029998982324685574,0.0029998983128707874
0.002,6.16347047855514e-08,2.88808555814011e-25,-1.0169913709718404e-07,3.209441692844928e-05,3.205077624433485e-25,2.5944920729217697e-07,-2.5622020601466094e-26,2.946814188074166e-09,1.0976396616027663e-26,1.0,1.446695137870518e-23,3.082400693404961e-06,-1.6408200612470502e-26,0.002999938367020675,0.002999938367020675,0.0030000616364268995,0.0030000616364268995,0.003000000002357798,0.0030000000023560546,0.003000000002357798,0.0030000000023560546,0.003000101742205334,0.003000101657337086,0.0029998982590609476,0.0029998983439291954
0.0021000000000000003,6.485623864769958e-08,2.8884566326056576e-25,-1.0167037605378307e-07,3.209332975250532e-05,3.3297271281530676e-25,2.6931690735369537e-07,-2.4900533388725607e-26,3.101884242986525e-09,1.0963472588460436e-26,1.0,1.4456486751534878e-23,3.0856260366569936e-06,-4.434613325070837e-26,0.0029999351454859267,0.0029999351454859267,0.0030000648579596983,0.0030000648579596983,0.003000000002424833,0.003000000002422902,0.003000000002424833,0.003000000002422902,0.0030001017157453196,0.003000101626411054,0.0029998982856567938,0.0029998983749910594
0.0022,6.807777250984777e-08,2.8888277070712057e-25,-1.016416150103821e-07,3.209224257656137e-05,3.45437663187265e-25,2.791846074152138e-07,-2.4179046175985123e-26,3.256954297898884e-09,1.0950548560893209e-26,1.0,1.4446022124364577e-23,3.088851379909026e-06,-7.228406588894611e-26,0.002999931923951177,0.002999931923951177,0.003000068079492499,0.003000068079492499,0.0030000000024953326,0.003000000002493204,0.0030000000024953326,0.003000000002493204,0.0030001016892887695,0.003000101595488486,0.0029998983122560942,0.0029998984060563777
