time,r_b_x,r_b_y,r_b_z,v_b_x,v_b_y,v_b_z,a_b_x,a_b_y,a_b_z,omega_b_x,omega_b_y,omega_b_z,dot_omega_b_x,dot_omega_b_y,dot_omega_b_z,g_b_x,g_b_y,g_b_z
0.0,0.0,0.0,0.0,3.1415874858795636,0.0,0.0,-0.1550310008813227,0.0,0.0,0.0,2.1932448452252893,0.0,0.0,-0.017317164906494042,0.0,0.0,0.0,-9.81
0.0001,0.00031415874858795636,0.0,0.0,3.1415719827794755,0.0,0.0,-0.3100612292527062,0.0,-6.800402036667579e-05,0.0,2.1932431135087986,0.0,0.0,-0.034634316132819976,0.0,0.0021515731759164055,0.0,-9.809999764053659
0.0002,0.0006283143965558952,0.0,0.0,3.1415254736322216,0.0,0.0,-0.620119353575523,0.0,-0.0002720145178029505,0.0,2.1932379183620627,0.0,0.0,-0.06926857757161287,0.0,0.004303142850707766,0.0,-9.809999056216142
0.00030000000000000003,0.0009424638433144007,0.0,0.0,3.1414479588968285,0.0,0.0,-0.9301712680849167,0.0,-0.0006120268013583718,0.0,2.1932292597932843,0.0,0.0,-0.10390272962901292,0.0,0.0064547055232560425,0.0,-9.809997876491952
0.0004,0.0012566039883352609,0.0,0.0,3.141339439338335,0.0,0.0,-1.240213867961199,0.0,-0.00108803305289288,0.0,2.193217137816137,0.0,0.0,-0.13853671760655217,0.0,0.008606257692457202,0.0,-9.809996224888598
0.0005,0.0015707317311820677,0.0,0.0,3.1411999160277837,0.0,0.0,-1.5502440484704567,0.0,-0.0017000223272223944,0.0,2.193201552449763,0.0,0.0,-0.1731704868190853,0.0,0.010757795857228226,0.0,-9.80999410141659
0.0006000000000000001,0.0018848439715408176,0.0,0.0,3.1410293903422137,0.0,0.0,-1.8602587049598382,0.0,-0.002447980552278803,0.0,2.193182503718773,0.0,0.0,-0.2078039825703648,0.0,0.012909316516514122,0.0,-9.809991506089446
0.0007,0.0021989376092505105,0.0,0.0,3.1408278639646534,0.0,0.0,-2.170254733039355,0.0,-0.0033318905295707042,0.0,2.193159991653249,0.0,0.0,-0.2424371501619227,0.0,0.015060816169294909,0.0,-9.809988438923684
0.0008,0.0025130095443337483,0.0,0.0,3.1405953388840766,0.0,0.0,-2.480229028537196,0.0,-0.004351731934506601,0.0,2.1931340162887407,0.0,0.0,-0.2770699349263772,0.0,0.017212291314592638,0.0,-9.809984899938824
0.0009000000000000001,0.002827056677027326,0.0,0.0,3.1403318173954053,0.0,0.0,-2.7901784872885136,0.0,-0.005507481316351173,0.0,2.1931045776662637,0.0,0.0,-0.3117022821697013,0.0,0.019363738451478388,0.0,-9.809980889157389
0.001,0.0031410759078128294,0.0,0.0,3.1400373020995085,0.0,0.0,-3.1001000055414862,0.0,-0.006799112099278045,0.0,2.1930716758323068,0.0,0.0,-0.3463341371601203,0.0,0.02151515407907928,0.0,-9.809976406604909
0.0011,0.0034550641374472275,0.0,0.0,3.1397117959031235,0.0,0.0,-3.409990479910416,0.0,-0.008226594582884668,0.0,2.1930353108388316,0.0,0.0,-0.380965445248016,0.0,0.023666534696585462,0.0,-9.809971452309913
0.0012000000000000001,0.003769018266993454,0.0,0.0,3.139355302018865,0.0,0.0,-3.719846807215576,0.0,-0.009789895942368034,0.0,2.192995482743257,0.0,0.0,-0.4155961517637863,0.0,0.025817876803257138,0.0,-9.809966026303933
0.0013000000000000002,0.0040829351978510005,0.0,0.0,3.1389678239651793,0.0,0.0,-4.029665884587298,0.0,-0.01148898022926361,0.0,2.192952191608479,0.0,0.0,-0.45022620199119956,0.0,0.02796917689843154,0.0,-9.809960128621505
0.0014,0.00439681183178649,0.0,0.0,3.1385493655663312,0.0,0.0,-4.339444609610019,0.0,-0.0133238083724645,0.0,2.192905437502859,0.0,0.0,-0.4848555412428901,0.0,0.03012043148152996,0.0,-9.809953759300162
0.0015,0.004710645070964267,0.0,0.0,3.1380999309523316,0.0,0.0,-4.649179880433026,0.0,-0.015294338179341168,0.0,2.1928552205002303,0.0,0.0,-0.519484114815949,0.0,0.03227163705206472,0.0,-9.809946918380444
0.0016,0.005024431817976956,0.0,0.0,3.1376195245589025,0.0,0.0,-4.958868595359397,0.0,-0.017400524335196427,0.0,2.1928015406798957,0.0,0.0,-0.5541118680651991,0.0,0.03442279010964623,0.0,-9.809939605905893
0.0017000000000000001,0.005338168975876047,0.0,0.0,3.1371081511274856,0.0,0.0,-5.268507653334215,0.0,-0.019642318405552858,0.0,2.1927443981266173,0.0,0.0,-0.5887387463610061,0.0,0.03657388715398991,0.0,-9.80993182192305
0.0018000000000000002,0.0056518534482024535,0.0,0.0,3.136565815705112,0.0,0.0,-5.57809395388433,0.0,-0.022019668836938112,0.0,2.1926837929306235,0.0,0.0,-0.6233646949094229,0.0,0.038724924684923244,0.0,-9.809923566481451
0.0019,0.00596548213901707,0.0,0.0,3.135992523644422,0.0,0.0,-5.887624396893821,0.0,-0.024532520956926877,0.0,2.1926197251876354,0.0,0.0,-0.6579896589720136,0.0,0.04087589920239277,0.0,-9.809914839633645
0.002,0.006279051952931338,0.0,0.0,3.13538828060358,0.0,0.0,-6.197095883030027,0.0,-0.027180816976761432,0.0,2.192552194998829,0.0,0.0,-0.6926135841300862,0.0,0.043026807206471125,0.0,-9.809905641435174
0.0021000000000000003,0.006592559795137786,0.0,0.0,3.1347530925462115,0.0,0.0,-6.506505313483477,0.0,-0.029964495991393426,0.0,2.1924812024708094,0.0,0.0,-0.7272364155985755,0.0,0.04517764519736395,0.0,-9.809895971944577
0.0022,0.00690600257144058,0.0,0.0,3.1340869657413672,0.0,0.0,-6.815849589963162,0.0,-0.032883493980435954,0.0,2.1924067477157094,0.0,0.0,-0.7618580984813939,0.0,0.04732840967541687,0.0,-9.8098858312234
0.0023,0.007219377188286059,0.0,0.0,3.133389906763463,0.0,0.0,-7.125125615038189,0.0,-0.03593774381087716,0.0,2.192328830851113,0.0,0.0,-0.7964785783798334,0.0,0.049479097141122697,0.0,-9.809875219336183
0.0024000000000000002,0.007532680552793273,0.0,0.0,3.132661922492178,0.0,0.0,-7.434330292033136,0.0,-0.03912717523791465,0.0,2.1922474520000335,0.0,0.0,-0.8310978005843239,0.0,0.051629704095128216,0.0,-9.809864136350466
0.0025,0.007845909572784495,0.0,0.0,3.1319030201124116,0.0,0.0,-7.743460524710239,0.0,-0.042451714904504174,0.0,2.192162611290996,0.0,0.0,-0.865715710274273,0.0,0.05378022703824124,0.0,-9.809852582336786
0.0026000000000000003,0.008159061156815755,0.0,0.0,3.131113207114249,0.0,0.0,-8.05251321781755,0.0,-0.0459112863454481,0.0,2.1920743088579786,0.0,0.0,-0.9003322528911006,0.0,0.05593066247143767,0.0,-9.809840557368684
0.0027,0.008472132214207345,0.0,0.0,3.130292491292808,0.0,0.0,-8.361485276899893,0.0,-0.04950580998786056,0.0,2.191982544840418,0.0,0.0,-0.9349473738184955,0.0,0.058081006895868384,0.0,-9.809828061522687
0.0028,0.008785119655074317,0.0,0.0,3.129440880748242,0.0,0.0,-8.670373608336336,0.0,-0.05323520315279513,0.0,2.191887319383215,0.0,0.0,-0.9695610183224623,0.0,0.06023125681286631,0.0,-9.80981509487833
0.0029000000000000002,0.009098020390356993,0.0,0.0,3.128558383885581,0.0,0.0,-8.979175119515286,0.0,-0.05709938005781751,0.0,2.1917886326367535,0.0,0.0,-1.0041731316912106,0.0,0.062381408723953424,0.0,-9.80980165751814
0.003,0.009410831331851433,0.0,0.0,3.127645009414698,0.0,0.0,-9.287886718181408,0.0,-0.061098251814380694,0.0,2.1916864847568767,0.0,0.0,-1.0387836594372146,0.0,0.06453145913084767,0.0,-9.809787749527636
0.0031000000000000003,0.009723549392239933,0.0,0.0,3.1267007663502833,0.0,0.0,-9.596505313483341,0.0,-0.06523172643592302,0.0,2.191580875904866,0.0,0.0,-1.0733925468064953,0.0,0.06668140453547002,0.0,-9.809773370995336
0.0032,0.01003617148512149,0.0,0.0,3.1257256640116,0.0,0.0,-9.90502781570252,0.0,-0.06949970883811,0.0,2.1914718062475154,0.0,0.0,-1.107999738962917,0.0,0.06883124143995141,0.0,-9.809758522012753
